           3        1250
  0.999294477952656       0.114048654536780       0.824130594754171     
  0.408399206918632       0.267894873754616       0.590436796744878     
  8.117657569237453E-002  0.132129151015998       0.347070754738996     
  0.314831924978975       0.583264507156555       0.648785548352994     
  0.148033615473125       0.751741510302771       0.690281683892915     
  0.925977073939539       0.434424289933435       0.435657106354298     
  0.601010886060969       0.521747324778009       0.268143311977470     
  0.111978388632723       0.369990186043626       0.251878203549258     
  0.797524329642562       0.701654175129068       0.982589770816325     
  0.597905794075686       0.897230843205293       0.989132777357605     
  0.373227944934915       0.610256657875987       0.165866575249777     
  0.983820223074739       0.962213075155442       0.144770456154592     
  0.502403898958270       0.606901300412886       0.512123392676230     
  0.878417838209082       0.138522008794532       0.591606373100793     
  0.352964780294339       0.210102912904111       0.268938205139593     
  0.772642220684600       0.224103746027135       0.605046421489186     
  0.351560413782780       0.664364408455310       0.314682321039958     
  0.552923284935987       0.399770240290309       0.476158184219824     
  0.963560589543845       0.725061149629855       0.242621827694985     
  2.125887796608942E-002  0.467693616521524       0.529870110582075     
  0.541075609620393       0.417500954814059       0.530794238260718     
  0.884611067917169       0.105148350325231       9.897655826667651E-002
  0.355738489999329       0.795939216695181       0.717959136248810     
  0.694767018805814       5.869632306936533E-002  0.752008051108886     
  0.172072334972279       0.484566113999168       6.518519462120778E-002
  0.504023874104967       0.778491386758054       2.738588737687110E-002
  0.173892808044743       0.271168018248528       0.947401148979130     
  8.300923279290294E-002  0.651589483202017       0.397901713299399     
  0.613480838083601       0.621457257226046       0.654278653028273     
  0.803750042020693       0.372873371790273       0.809534264174480     
  2.702585901003233E-002  0.616400090695361       3.823874343665924E-002
  0.296817092331802       0.290046018852811       0.766452516032597     
  0.108377552224366       0.204865537776411       0.306371501666296     
  0.162083065964775       0.551462534290884       0.688663270574238     
  0.351976808122372       0.484637473800305       0.490517009372797     
  0.992857981656177       1.221233514978012E-002  0.420147979032517     
  9.681259199467948E-002  0.727240979585555       0.343847533793672     
  7.571245284544219E-002  0.762487631669010       0.363906663345203     
  0.879555133060637       0.930488042575996       0.312789440428420     
  0.926287648144386       0.862928500095810       0.313023472487458     
  0.495226760438770       0.124534153186438       0.323560339167075     
  0.276814253781554       0.933433443467058       0.454525759739190     
  0.451375344939019       0.568008057438155       0.994830849841525     
  0.571596411795212       0.513554954739366       0.131305153090943     
  0.548807591501923       0.555680997312480       0.307965663809832     
  0.795732241420651       0.517229077855344       8.228218368905842E-002
  1.109278665058632E-002  0.943382304714756       0.385768294236764     
  0.702528972977288       0.309327273765959       0.412591412230520     
  0.928752226728916       0.150484711765870       0.357313521379441     
  0.274904457557424       0.266052181652949       0.997789140703190     
  0.694960061028414       0.703398051573351       0.299732959585870     
  0.770870252290726       0.186889379697664       0.589562760718554     
  0.414383560988401       0.450889840408058       0.439335758492135     
  0.608214355399002       0.263781582667228       0.328768402312562     
  0.935958904007684       0.808715674905492       0.259409356419833     
  0.930904490932300       0.777105142853192       0.950977147013439     
